Czas[s],Temperatura[degC],Moc[W], Poziom Mocy[%]
1,20,8000,100
2,20.0268,8000,100
3,20.0537,8000,100
4,20.0805,8000,100
5,20.1072,8000,100
6,20.134,8000,100
7,20.1607,8000,100
8,20.1874,8000,100
9,20.2141,8000,100
10,20.2407,8000,100
11,20.2674,8000,100
12,20.294,8000,100
13,20.3205,8000,100
14,20.3471,8000,100
15,20.3736,8000,100
16,20.4001,8000,100
17,20.4266,8000,100
18,20.453,8000,100
19,20.4794,8000,100
20,20.5058,8000,100
21,20.5322,8000,100
22,20.5585,8000,100
23,20.5849,8000,100
24,20.6112,8000,100
25,20.6374,8000,100
26,20.6637,8000,100
27,20.6899,8000,100
28,20.7161,8000,100
29,20.7423,8000,100
30,20.7684,8000,100
31,20.7945,8000,100
32,20.8206,8000,100
33,20.8467,8000,100
34,20.8728,8000,100
35,20.8988,8000,100
36,20.9248,8000,100
37,20.9508,8000,100
38,20.9767,8000,100
39,21.0026,8000,100
40,21.0285,8000,100
41,21.0544,8000,100
42,21.0803,8000,100
43,21.1061,8000,100
44,21.1319,8000,100
45,21.1577,8000,100
46,21.1834,8000,100
47,21.2092,8000,100
48,21.2349,8000,100
49,21.2605,8000,100
50,21.2862,8000,100
51,21.3118,8000,100
52,21.3374,8000,100
53,21.363,8000,100
54,21.3886,8000,100
55,21.4141,8000,100
56,21.4396,8000,100
57,21.4651,8000,100
58,21.4906,8000,100
59,21.516,8000,100
60,21.5414,8000,100
61,21.5668,8000,100
62,21.5922,8000,100
63,21.6175,8000,100
64,21.6429,8000,100
65,21.6681,8000,100
66,21.6934,8000,100
67,21.7187,8000,100
68,21.7439,8000,100
69,21.7691,8000,100
70,21.7943,8000,100
71,21.8194,8000,100
72,21.8445,8000,100
73,21.8696,8000,100
74,21.8947,8000,100
75,21.9198,8000,100
76,21.9448,8000,100
77,21.9698,8000,100
78,21.9948,8000,100
79,22.0198,8000,100
80,22.0447,8000,100
81,22.0696,8000,100
82,22.0945,8000,100
83,22.1194,8000,100
84,22.1442,8000,100
85,22.1691,8000,100
86,22.1939,8000,100
87,22.2186,8000,100
88,22.2434,8000,100
89,22.2681,8000,100
90,22.2928,8000,100
91,22.3175,8000,100
92,22.3421,8000,100
93,22.3668,8000,100
94,22.3914,8000,100
95,22.416,8000,100
96,22.4405,8000,100
97,22.4651,8000,100
98,22.4896,8000,100
99,22.5141,8000,100
100,22.5386,8000,100
101,22.563,8000,100
102,22.5874,8000,100
103,22.6118,8000,100
104,22.6362,8000,100
105,22.6606,8000,100
106,22.6849,8000,100
107,22.7092,8000,100
